r	g_r
0.151	-0.008
0.505	-0.021
0.859	-0.011
1.214	-0.009
1.574	-0.009
1.923	0.005
2.277	0.010
2.632	-0.001
2.986	0.009
3.222	0.160
3.252	0.318
3.341	0.858
3.311	0.690
3.311	0.508
3.370	1.246
3.370	1.116
3.370	0.986
3.459	1.808
3.429	1.637
3.403	1.459
3.518	2.258
3.488	2.075
3.488	1.945
3.547	2.536
3.547	2.406
3.832	2.889
3.568	2.726
3.695	3.022
3.902	2.572
3.902	2.442
3.961	2.288
3.961	2.122
4.020	1.921
4.079	1.714
4.158	1.517
4.286	1.297
4.374	1.146
4.463	0.980
4.611	0.791
4.877	0.642
5.231	0.572
5.585	0.649
5.910	0.808
6.176	0.951
6.412	1.108
6.708	1.231
7.062	1.261
7.417	1.181
7.742	1.034
8.067	0.911
8.421	0.829
8.775	0.851
9.130	0.930
9.484	1.019
9.839	1.083
10.193	1.102
10.548	1.072
10.902	1.018
11.256	0.970
11.611	0.941
11.948	0.943
12.320	0.965
12.674	1.006
13.029	1.040
13.383	1.045
13.738	1.030
14.092	1.009
14.446	0.989
14.742	0.977
15.214	0.977
15.569	0.988
15.923	1.005
16.278	1.018
16.632	1.025
16.987	1.013
17.341	1.003
17.713	0.992
18.050	0.990
18.404	0.990
18.741	0.992
19.113	1.002
19.462	1.010
19.822	1.014
20.289	1.007
20.765	1.002
21.250	1.003
21.866	1.003
22.480	1.003
22.835	1.003
23.189	1.003
23.544	1.003
23.898	1.003
24.253	1.003
24.607	1.004
24.962	1.004
25.316	1.004
25.670	1.004
26.025	1.004
26.379	1.004
26.734	1.004
27.059	1.004
