t	K	U	E	T	P
20	761.358223866237	-5888.540086014576	-5127.181862148341	0.5874677653288868	5.535879679090953
40	436.10479501081954	-5293.119609228119	-4857.014814217298	0.33650061343427423	2.9083895348168474
60	486.0400962282723	-5313.896825615981	-4827.856729387709	0.37503093844774105	3.062762041359455
80	528.896041444438	-5325.415858586087	-4796.5198171416505	0.40809879741083177	3.1407926036108016
100	549.261903263898	-5320.210683404507	-4770.9487801406085	0.4238131969628842	3.105909652097517
120	571.0331256909957	-5314.053428882623	-4743.020303191628	0.44061197969984234	3.065880355855147
140	608.5122555874518	-5319.013516087647	-4710.501260500196	0.46953106141007084	3.140451199411434
160	614.2826700328305	-5305.311467199227	-4691.028797166397	0.47398354169199897	3.0903948712823737
180	608.6150893032161	-5290.634031112958	-4682.01894180974	0.46961040841297547	2.9809856598710796
200	617.4214009005561	-5283.536346563785	-4666.114945663227	0.4764054019294415	2.925283471603982
220	643.5246331140604	-5299.64698368189	-4656.12235056783	0.49654678481023184	3.020580526884761
240	643.7727227015649	-5283.16427018729	-4639.391547485724	0.4967382119610839	2.913391224409886
260	657.1723727078551	-5291.916300592841	-4634.743927884987	0.5070774480770486	2.988043278858005
280	657.6129418737686	-5270.739730401974	-4613.126788528205	0.5074173934211178	2.854481737811339
300	659.2031800239749	-5258.381519386704	-4599.1783393627275	0.5086444290308447	2.800099267074245
320	707.2610074705196	-5285.548024426835	-4578.287016956316	0.5457260860112034	3.0333319549414863
340	709.7270906919223	-5273.050560244139	-4563.323469552215	0.5476289280030265	2.9696450221626005
360	701.7138244650109	-5251.526692173682	-4549.812867708671	0.5414458522106568	2.8116202989774997
380	682.9243490506901	-5227.618100529677	-4544.693751478986	0.5269478001934337	2.6345508629064263
400	717.5709828160755	-5251.343982495676	-4533.772999679601	0.5536813139012927	2.7990762356732675
420	721.0615109722596	-5241.767584357893	-4520.706073385632	0.5563746226637806	2.7697637082153017
440	722.1074902092759	-5232.3796062421825	-4510.272116032907	0.5571817054083918	2.720307886185144
